name,hex,link
Bright Yellow,#ffaa1d,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Heads_'n_Tails
Bronze,#cd7f32,https://en.wikipedia.org/wiki/Bronze_(color)
Brown Sugar,#af6e4d,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Heads_'n_Tails
Bud Green,#7bb661,https://en.wikipedia.org/wiki/Spring_bud#Bud_green
Buff,#ffc680,https://en.wikipedia.org/wiki/Buff_(colour)
Burgundy,#800020,https://en.wikipedia.org/wiki/Burgundy_(color)
Burlywood,#deb887,https://en.wikipedia.org/wiki/X11_color_names#Color_name_charts
Burnished Brown,#a17a74,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Silver_Swirls
Burnt Orange,#cc5500,https://en.wikipedia.org/wiki/Shades_of_orange#Burnt_orange
Burnt Sienna,#e97451,https://en.wikipedia.org/wiki/Burnt_sienna
Burnt Umber,#8a3324,https://en.wikipedia.org/wiki/Burnt_umber
Byzantine,#bd33a4,https://en.wikipedia.org/wiki/Byzantium_(color)#Byzantine
Byzantium,#702963,https://en.wikipedia.org/wiki/Byzantium_(color)
Cadet Blue,#5f9ea0,https://en.wikipedia.org/wiki/Cadet_grey#Cadet_blue
Cadet Grey,#91a3b0,https://en.wikipedia.org/wiki/Cadet_grey
Cadmium Green,#006b3c,https://en.wikipedia.org/wiki/Cadmium_pigments
Cadmium Orange,#ed872d,https://en.wikipedia.org/wiki/Cadmium_pigments
Café Au Lait,#a67b5b,https://en.wikipedia.org/wiki/Coffee_(color)#Caf%C3%A9_au_Lait
Café Noir,#4b3621,https://en.wikipedia.org/wiki/Coffee_(color)#Caf%C3%A9_Noir
Cambridge Blue,#a3c1ad,https://en.wikipedia.org/wiki/Cambridge_Blue_(colour)
Camel,#c19a6b,https://en.wikipedia.org/wiki/Camel_(color)#Camel
Cameo Pink,#efbbcc,https://en.wikipedia.org/wiki/Shades_of_pink#Cameo_pink
Canary,#ffff99,https://en.wikipedia.org/wiki/History_of_Crayola_crayons#Crayola_No._64
Canary Yellow,#ffef00,https://en.wikipedia.org/wiki/Shades_of_yellow#Yellow_(CMYK)_(process_yellow)_(canary_yellow)
Candy Pink,#e4717a,https://en.wikipedia.org/wiki/Candy_apple_red#Candy_pink
Capri,#00bfff,https://en.wikipedia.org/wiki/Sky_blue#Deep_sky_blue
Cardinal,#c41e3a,https://en.wikipedia.org/wiki/Cardinal_(color)
Caribbean Green,#00cc99,https://en.wikipedia.org/wiki/Spring_green#Caribbean_green
